timestamp;partition;vectorClock;loss;fMeasure;accuracy
1584288169712;-1;0;-1;0.1649489237948202;0.2491285626409678
1584288172109;-1;1;-1;0.1973475540553236;0.27045314742669674
1584288173997;-1;2;-1;0.21834383549369063;0.23805618207914703
1584288175710;-1;3;-1;0.2565768234401524;0.3081812589706787
1584288177208;-1;4;-1;0.1961495886741096;0.24010662292392865
1584288179010;-1;5;-1;0.2554372744128413;0.30510559770350626
1584288180605;-1;6;-1;0.22726389987603035;0.2622513840475702
1584288182157;-1;7;-1;0.25867635126600125;0.30490055361902807
1584288183754;-1;8;-1;0.2270401907992017;0.26204633996309207
1584288185411;-1;9;-1;0.27709095858063587;0.30674595037933156
1584288186854;-1;10;-1;0.23839434893710465;0.2606110313717449
1584288188398;-1;11;-1;0.2795953863926757;0.3075661267172442
1584288191410;-1;12;-1;0.23139941727064467;0.2626614722165265
1584288192999;-1;13;-1;0.2886887938064522;0.3032602009432028
1584288194216;-1;14;-1;0.24359760465315694;0.26696739799056796
1584288195376;-1;15;-1;0.2869502754601297;0.30141480418289934
1584288196452;-1;16;-1;0.2567951005218009;0.2718884560180439
1584288197720;-1;17;-1;0.2828152301111653;0.29772401066229237
1584288199193;-1;18;-1;0.2671932554443769;0.2755792495386508
1584288200397;-1;19;-1;0.28678365124460853;0.3040803772811154
1584288201770;-1;20;-1;0.280976292008714;0.2784498667213451
1584288203036;-1;21;-1;0.28431935189208674;0.29587861390198894
1584288204274;-1;22;-1;0.28496836462893177;0.28029526348164857
1584288205358;-1;23;-1;0.2849805337315304;0.29362312897272913
1584288206492;-1;24;-1;0.2766257222881072;0.27270863235595655
1584288207738;-1;25;-1;0.28804840170424545;0.2938281730572073
1584288209182;-1;26;-1;0.28209893028049643;0.27803977855238876
1584288210379;-1;27;-1;0.28652724558865805;0.2966987902399016
1584288211398;-1;28;-1;0.27661171456415246;0.2768095140455198
1584288212498;-1;29;-1;0.2838763639775994;0.2981340988312487
1584288213694;-1;30;-1;0.2878353600598179;0.28521632150912446
1584288215003;-1;31;-1;0.28485135682553064;0.2948533934795981
1584288216244;-1;32;-1;0.28653083184174644;0.2872667623539061
1584288217591;-1;33;-1;0.2818822486951771;0.2944433053106418
1584288218997;-1;34;-1;0.2887850302844659;0.2895222472831659
1584288220216;-1;35;-1;0.2854811752319752;0.30079967192946483
1584288221419;-1;36;-1;0.27838363494216245;0.2928029526348165
1584288222640;-1;37;-1;0.2929004723793339;0.30346524502768096
1584288223854;-1;38;-1;0.2836064450567528;0.2932130408037728
1584288225053;-1;39;-1;0.2880748604025684;0.2971088784088579
1584288226353;-1;40;-1;0.28852231219989577;0.293418084888251
1584288227700;-1;41;-1;0.2855456327469634;0.2950584375640763
1584288229103;-1;42;-1;0.28908058162541694;0.29731392249333605
1584288230553;-1;43;-1;0.2939877541638836;0.30182489235185567
1584288231899;-1;44;-1;0.29415975079018913;0.2971088784088579
1584288233255;-1;45;-1;0.3031347420819017;0.3147426696739799
1584288234605;-1;46;-1;0.3011155020005151;0.30469550953454994
1584288236102;-1;47;-1;0.3092719967422098;0.3169981546032397
1584288237402;-1;48;-1;0.30082557512623026;0.3016198482673775
1584288238705;-1;49;-1;0.31180142163065316;0.318638507279065
1584288240054;-1;50;-1;0.3018700091492146;0.29956940742259586
1584288241304;-1;51;-1;0.3115123034360363;0.3196637277014558
1584288242604;-1;52;-1;0.3003066242373464;0.2971088784088579
1584288243947;-1;53;-1;0.31806899745332295;0.3272503588271478
1584288245253;-1;54;-1;0.3043217323942908;0.29956940742259586
1584288246504;-1;55;-1;0.3162680731930625;0.3278654910805823
1584288247902;-1;56;-1;0.31114145792576786;0.30613081812589704
1584288249252;-1;57;-1;0.3097826179022385;0.32109903629280295
1584288250452;-1;58;-1;0.31148242171312157;0.30736108263276607
1584288251805;-1;59;-1;0.30927612588369874;0.3149477137584581
1584288253105;-1;60;-1;0.3137464489652416;0.3108468320688948
1584288254604;-1;61;-1;0.313108935868935;0.3151527578429362
1584288256053;-1;62;-1;0.32294135299412574;0.3241746975599754
1584288257502;-1;63;-1;0.3054722056842496;0.3112569202378511
1584288258853;-1;64;-1;0.3232230193177289;0.32991593192536395
1584288260052;-1;65;-1;0.30665098678783753;0.31064178798441666
1584288261151;-1;66;-1;0.31893854050350945;0.33217141685462376
1584288262402;-1;67;-1;0.30557979290587733;0.3114619643223293
1584288263552;-1;68;-1;0.32732018443501704;0.336272298544187
1584288264801;-1;69;-1;0.3197014228768909;0.3180233750256305
1584288266003;-1;70;-1;0.324818394285674;0.33729751896657784
1584288267302;-1;71;-1;0.3251071146038675;0.3251999179823662
1584288268601;-1;72;-1;0.3286093699728753;0.33873282755792494
1584288269802;-1;73;-1;0.3295910505588625;0.3251999179823662
1584288270952;-1;74;-1;0.32795382857082883;0.3366823867131433
1584288272154;-1;75;-1;0.32709453531449645;0.3225343448841501
1584288273402;-1;76;-1;0.3193240387284234;0.327455402911626
1584288274653;-1;77;-1;0.3248039568469683;0.32130408037728114
1584288275752;-1;78;-1;0.3119623458304346;0.32335452122206276
1584288276902;-1;79;-1;0.32502926124372483;0.3241746975599754
1584288278053;-1;80;-1;0.3247181743716878;0.33319663727701454
1584288279203;-1;81;-1;0.3204683895760311;0.31904859544802133
1584288280451;-1;82;-1;0.32426148906622465;0.33545212220627435
1584288281551;-1;83;-1;0.32052423602186564;0.31781833094115236
1584288282803;-1;84;-1;0.31977195790976926;0.3221242567151938
1584288284251;-1;85;-1;0.3230089643477577;0.32089399220832476
1584288285502;-1;86;-1;0.3085513499612208;0.3128972729136764
1584288286702;-1;87;-1;0.3250336626485652;0.3225343448841501
1584288287901;-1;88;-1;0.3143441221633298;0.31904859544802133
1584288289053;-1;89;-1;0.3186561419134451;0.3241746975599754
1584288290253;-1;90;-1;0.3230655866499938;0.3202788599548903
