timestamp;partition;vectorClock;loss;fMeasure;accuracy
1584309007888;-1;0;-1;0.1815781888536104;0.28091039573508303
1584309022782;-1;1;-1;0.12367303000404434;0.23990157883945049
1584309028338;-1;2;-1;0.08261647533437244;0.21693664137789626
1584309033722;-1;3;-1;0.269557582876842;0.3381176953044905
1584309037792;-1;4;-1;0.2798688165390594;0.3477547672749641
1584309040906;-1;5;-1;0.25199221429300506;0.30797621488620053
1584309044087;-1;6;-1;0.30472921681939125;0.31904859544802133
1584309047544;-1;7;-1;0.31338890162671185;0.3616977650194792
1584309050865;-1;8;-1;0.2760898052090408;0.3381176953044905
1584309053832;-1;9;-1;0.33435777042668074;0.3430387533319664
1584309057420;-1;10;-1;0.33105726881543374;0.34447406192331353
1584309060278;-1;11;-1;0.3109407102617576;0.36743899938486774
1584309064895;-1;12;-1;0.3178931718942296;0.3454992823457043
1584309068476;-1;13;-1;0.3491405929315677;0.3430387533319664
1584309072575;-1;14;-1;0.31627687666369303;0.3596473241746976
1584309076400;-1;15;-1;0.3277792507663743;0.36046750051261023
1584309079229;-1;16;-1;0.33819126143902206;0.3512405167110929
1584309082440;-1;17;-1;0.34371514761523403;0.33914291572688127
1584309085304;-1;18;-1;0.3335095046128858;0.3582120155833504
1584309088730;-1;19;-1;0.34380591111281267;0.36026245642813204
1584309091513;-1;20;-1;0.33651177044718467;0.3346319458683617
1584309094407;-1;21;-1;0.3239495692567829;0.33606725445970886
1584309097786;-1;22;-1;0.34388644988026984;0.36415829403321714
1584309100954;-1;23;-1;0.34312853770102886;0.3543161779782653
1584309105025;-1;24;-1;0.3146264099582782;0.33381176953044905
1584309108552;-1;25;-1;0.34060352227399826;0.3668238671314333
1584309111241;-1;26;-1;0.34875560473991674;0.35739183924543777
1584309114346;-1;27;-1;0.33231761074594884;0.336272298544187
1584309117234;-1;28;-1;0.33013979467354887;0.3571867951609596
1584309120260;-1;29;-1;0.35722382611734854;0.3705146606520402
1584309123745;-1;30;-1;0.34968903499002757;0.3483698995283986
1584309126959;-1;31;-1;0.33594413380819554;0.3399630920647939
1584309129793;-1;32;-1;0.3434088206985529;0.3643633381176953
1584309133093;-1;33;-1;0.35663602356318186;0.3594422800902194
1584309136113;-1;34;-1;0.3291668439898438;0.3290957555874513
1584309139949;-1;35;-1;0.3383288065438049;0.35349600164035266
1584309144048;-1;36;-1;0.35947833269255774;0.3682591757227804
1584309147307;-1;37;-1;0.3494129792360605;0.3471396350215296
1584309150875;-1;38;-1;0.3402501058322728;0.34488415009226986
1584309153676;-1;39;-1;0.3485478770234746;0.36784908755382406
1584309156425;-1;40;-1;0.354355615885588;0.35923723600574126
1584309159612;-1;41;-1;0.33590857016342973;0.3342218576994054
1584309162563;-1;42;-1;0.3447705468654638;0.35923723600574126
