timestamp;partition;vectorClock;loss;fMeasure;accuracy;numTuplesSeen
1584302430044;1;0;1.4005257709290158;0.10724921907524179;0.2177568177158089;98
1584302430064;0;0;1.3232356560242926;0.14135918806170739;0.23785113799466887;101
1584302445761;2;0;1.422782579269553;0.13604175569446608;0.24338732827557924;99
1584302450282;3;0;1.4133351841505426;0.09072045789640973;0.21652655320893993;101
1584302451802;2;1;1.444339935210323;0.10399049011522782;0.22431822841911012;160
1584302453743;1;1;1.3124142706840927;0.1155383529963121;0.22349805208119747;159
1584302455303;3;1;1.4226621842290985;0.13064769332984585;0.23416034447406192;163
1584302456497;0;1;1.4128789458705193;0.1356067738712327;0.24523272503588273;162
1584302459651;1;2;1.2959730539909236;0.22104176525859612;0.2905474677055567;168
1584302459665;0;2;1.2694084913249604;0.11998502185559864;0.23334016813614927;172
1584302461806;2;2;1.2295078238047514;0.21722766095515278;0.27988517531269225;169
1584302461806;3;2;1.2570183213358097;0.10310635358933554;0.2239081402501538;172
1584302464248;2;3;1.250245416076262;0.21406671564176494;0.2630715603854829;174
1584302464276;3;3;1.2760773846359623;0.23135598020981762;0.29239286446586016;177
1584302467262;1;3;1.2114759307403546;0.18235200150313519;0.26389173672339555;173
1584302467267;0;3;1.2423672206991248;0.22399271971832685;0.3024400246052901;177
1584302471603;3;4;1.1779884233120075;0.20703843706875097;0.2768095140455198;185
1584302471623;2;4;1.2069496351761053;0.2483008867189857;0.30305515685872464;182
1584302474335;1;4;1.1587084654497344;0.24512312382641233;0.3340168136149272;181
1584302474341;0;4;1.183569057946092;0.21189025053948468;0.3131023169981546;185
1584302477300;0;5;1.1365167714655895;0.2563067535440443;0.3128972729136764;193
1584302477306;2;5;1.08308214151927;0.23665991702284733;0.25486979700635637;191
1584302478946;1;5;1.1290333137522446;0.22906897598131326;0.3003895837605085;190
1584302479031;3;5;1.1377028306653865;0.23620515934186176;0.30674595037933156;193
1584302481438;1;6;1.1039623804908498;0.2701327769247444;0.3469345909370515;194
1584302481687;3;6;1.124577427434241;0.309274683555843;0.36190280910395733;198
1584302482865;2;6;1.1058555836406492;0.255042937514827;0.2843961451712118;195
1584302483101;0;6;1.0819986797674854;0.24761089946014123;0.32889071150297317;198
1584302485250;3;7;1.0787175762949022;0.28016228153931555;0.3215091244617593;204
1584302485253;1;7;1.0244085285149038;0.2626212368545867;0.33893787164240313;200
1584302486582;0;7;1.0865823101961691;0.2640585909482805;0.3096165675620258;203
1584302486653;2;7;1.003301005632291;0.2714073719810957;0.2850112774246463;201
1584302488860;2;8;1.049814531875191;0.26662280020297696;0.2895222472831659;205
1584302488864;3;8;1.0963728572917775;0.316039435228621;0.35021529628870207;208
1584302491182;0;8;1.0679699599801604;0.24317281298941543;0.31576789009637074;208
1584302491188;1;8;1.042015125670502;0.29464918127734235;0.35739183924543777;205
1584302493833;0;9;1.0464500221747228;0.2589418358682415;0.31330736108263274;214
