timestamp;partition;vectorClock;loss;fMeasure;accuracy;numTuplesSeen
1584308994274;1;0;1.4670096577498573;0.1382034169912918;0.24297724010662292;176
1584308994295;0;0;1.5557916776025638;0.2306491785077198;0.31556284601189255;176
1584309010997;2;0;1.4919771592525743;0.18290312268425488;0.27968013122821406;175
1584309016359;3;0;1.5142256764216424;0.18136353031273547;0.27250358827147836;175
1584309017760;1;1;1.4146540625709545;0.1038855078669386;0.21898708222267788;214
1584309020787;2;1;1.4016590463248086;0.11583693747281658;0.23251999179823662;234
1584309020794;0;1;1.3667882559072366;0.15784108908824168;0.26450686897683;215
1584309024025;1;2;1.370198862792195;0.11144852144756934;0.22513840475702276;242
1584309024109;3;1;1.4189435200954272;0.1484960658987859;0.25076891531679313;224
1584309025816;2;2;1.4223283096658037;0.12758614289646555;0.23682591757227803;246
1584309026267;0;2;1.3857093150808213;0.12236991626500844;0.23457043264301825;234
1584309028691;1;3;1.1614782384271902;0.1923787587165705;0.26532704531474266;250
1584309029005;3;2;1.3045130238198648;0.13696559148965504;0.24318228419110108;234
1584309031046;2;3;1.3049914085352965;0.14856471404593874;0.24379741644453556;252
1584309032093;0;3;1.3027835248932473;0.19214487403654731;0.2702481033422186;240
1584309033438;1;4;1.2054170692775834;0.25366393632946715;0.3295058437564076;256
1584309034280;3;3;1.337294704080411;0.13143186903953366;0.23436538855854008;240
1584309035096;2;4;1.2441534593566297;0.20481744457633325;0.285831453762559;258
1584309036317;0;4;1.2528322349742755;0.22878141857561365;0.311051876153373;247
1584309036645;1;5;1.1044354556157983;0.21050746912071264;0.2800902193971704;262
1584309038159;3;4;1.1707151335088504;0.19574645110973476;0.2766044699610416;246
1584309038356;2;5;1.2801270910791458;0.20154359240454242;0.25774041418905064;263
1584309039642;1;6;1.1061487917213322;0.2690324863737071;0.33914291572688127;267
1584309039658;0;5;1.260129012573567;0.23975139810152613;0.3092064793930695;252
1584309041342;2;6;1.2447157706373932;0.24807221101986493;0.25630510559770353;267
1584309041353;3;5;1.2511716601095664;0.18528180664332777;0.2679926184129588;251
1584309042958;0;6;1.1358539106848173;0.17939108130323933;0.26860775066639325;256
1584309042969;1;7;1.042554874924047;0.24793019945489686;0.3364773426286652;269
1584309044623;2;7;1.066228233649438;0.20300190381479588;0.25220422390814023;271
1584309044636;3;6;1.2222718452615744;0.27499432147265457;0.32273938896862825;255
1584309046393;1;8;1.0586399465002703;0.2926401359311925;0.3561615747385688;275
1584309046440;0;7;1.1599218274567382;0.2567567211161639;0.3223293007996719;260
1584309048106;2;8;1.0483605201867732;0.25046803089718706;0.3059257740414189;275
1584309048309;3;7;1.1720658325904836;0.32777790276317853;0.3637482058642608;259
1584309049364;1;9;0.9963214710094742;0.2518122526167048;0.32048390403936844;277
1584309049619;0;8;1.1364018646953378;0.263331681962908;0.31740824277219604;264
1584309051369;2;9;0.9948223534076922;0.25551020577013733;0.2684027065819151;279
1584309051377;3;8;1.1181201116750656;0.2582182064777619;0.3344269017838835;263
1584309052412;1;10;0.9936972461424095;0.28815832065979546;0.3506253844576584;281
1584309052509;0;9;1.1102868560777817;0.3207445928332603;0.3221242567151938;268
1584309054157;2;10;1.0732070449419895;0.3033022448878427;0.30305515685872464;283
1584309054407;3;9;1.0785665204562642;0.2478932375435283;0.30695099446380975;267
1584309055425;1;11;0.9284294944203368;0.2852586841161896;0.34652450276809516;285
1584309055725;0;10;1.0160359554666423;0.2672286633670222;0.3395530038958376;272
1584309057729;2;11;0.968026939733097;0.27394156326588914;0.3184334631945868;287
1584309057952;3;10;1.1047975876567566;0.31652728841982813;0.36231289727291366;271
1584309058969;1;12;0.9511545097802717;0.3185354064478768;0.36415829403321714;288
1584309059169;0;11;1.0270370975537395;0.27550817802501687;0.3297108878408858;276
1584309060830;3;11;1.051583056849571;0.30961759033702513;0.3610826327660447;275
1584309060836;2;12;1.0140226130294558;0.2730158776748293;0.29792905474677056;291
1584309063624;1;13;0.8769187465416831;0.32879917159775046;0.3364773426286652;293
1584309063667;0;12;0.9237331128560751;0.2803436395213148;0.318638507279065;280
1584309065135;3;12;1.040482720785289;0.286532984856384;0.3487799876973549;279
1584309065265;2;13;0.9610143699048679;0.2852178394342948;0.2944433053106418;295
1584309067416;0;13;0.9896999459296604;0.29583038289864527;0.3297108878408858;285
1584309067416;1;14;0.9300662126047337;0.28574655858418385;0.32807053516506046;299
1584309069245;2;14;0.8902529360230061;0.29893131747001045;0.31576789009637074;300
1584309069284;3;13;0.9923845226172731;0.28460675808597435;0.34098831248718475;284
1584309070735;1;15;0.8914606761611288;0.30379323055647217;0.36251794135739185;303
1584309070773;0;14;0.8811974104067621;0.28943776026722423;0.34324379741644456;290
1584309073111;3;14;1.0448645665766396;0.3315681940717924;0.37133483698995284;289
1584309073367;2;15;0.8882805611423921;0.2937332102627102;0.31720319868771785;305
1584309074637;0;15;0.9016856773885024;0.31341777127572956;0.3290957555874513;295
1584309074924;1;16;0.8906289405567686;0.32600809720054785;0.36231289727291366;307
1584309076808;3;15;0.9434600232047072;0.3110268862642251;0.3500102522042239;294
1584309077079;2;16;0.8716715818656244;0.30264071421981015;0.30859134713963504;310
1584309078260;0;16;0.8762587954037;0.3051750793051376;0.31207709657576377;300
1584309078844;1;17;0.9236719707962869;0.2935032811404433;0.33196637277014557;314
1584309079765;3;16;0.9793703009758743;0.2982367751742233;0.35144556079557104;298
1584309080029;2;17;0.8782975026586018;0.30513566061344527;0.30674595037933156;315
1584309081434;0;17;0.9117748997230912;0.321703418951783;0.3418084888250974;303
1584309082225;1;18;0.8679758174280721;0.3058759186086076;0.3612876768505229;318
1584309082945;3;17;0.9814682610896526;0.3198726025039563;0.3698995283986057;302
1584309083531;2;18;0.8940143678386769;0.2919774900543215;0.31412753742054544;319
1584309084279;0;18;0.9125354976003639;0.32285122674120026;0.3545212220627435;307
1584309085128;1;19;0.8033425133963314;0.3337975104495681;0.3668238671314333;322
1584309086038;3;18;0.9928059087008171;0.33115869217850047;0.36784908755382406;306
1584309087074;2;19;0.8374154942725639;0.30598000785224067;0.3163830223498052;323
1584309087866;0;19;0.8285724936865537;0.3134833105586075;0.31412753742054544;311
1584309088627;1;20;0.7914637139888858;0.27346078514360916;0.31576789009637074;325
1584309089270;3;19;1.0161145663180884;0.32450364819258093;0.35472626614722164;310
1584309089976;2;20;0.84121707227407;0.314524250842459;0.31556284601189255;327
1584309090733;0;20;0.923954601830948;0.3279787244320066;0.3237646093910191;315
1584309091236;1;21;0.8088853750446017;0.31119401358807597;0.3582120155833504;330
1584309092037;3;20;0.9538804550580992;0.31970642943848404;0.35698175107648145;314
1584309092759;2;21;0.85952688299631;0.3036260202612603;0.3272503588271478;331
1584309093490;0;21;0.8219561228879583;0.32483836823380524;0.3413984006561411;318
1584309094291;1;22;0.7986111461755231;0.3319070154322072;0.3676440434693459;333
1584309094943;3;21;0.9213652139184313;0.3433861776329228;0.3723600574123437;317
1584309095582;2;22;0.8804038256417678;0.311309370677961;0.32889071150297317;334
1584309096822;0;22;0.8104712453482614;0.3393596169272832;0.3413984006561411;322
1584309097519;1;23;0.7926571791188539;0.31788663425194164;0.34980520811974575;337
1584309098455;3;22;0.9293260343151273;0.321604908099706;0.3454992823457043;321
1584309098709;2;23;0.8386058215408914;0.3098296678986551;0.3147426696739799;338
1584309099761;0;23;0.8375502889664529;0.3325531410288965;0.3251999179823662;326
1584309099765;1;24;0.785917228406622;0.2946892449922595;0.33893787164240313;341
1584309101429;3;23;0.9616266787748607;0.31898401494694395;0.35206069304900556;325
1584309101625;2;24;0.8020128424858894;0.3143546863001097;0.32848062333401684;342
1584309102913;1;25;0.7574299867690167;0.3152282637216015;0.3621078531884355;345
1584309102925;0;24;0.7765699324873703;0.32660928896731406;0.34037318023375024;330
1584309105574;3;24;0.8823854334507529;0.3229665796032498;0.36354316177978263;329
1584309105577;2;25;0.8689678694985292;0.3254489881471182;0.336272298544187;345
