timestamp;partition;vectorClock;loss;fMeasure;accuracy
1584296654122;-1;0;-1;0.1222011595821503;0.2337502563051056
1584296665205;-1;1;-1;0.1834769960162251;0.26532704531474266
1584296667958;-1;2;-1;0.1627429635089362;0.26327660446996104
1584296673014;-1;3;-1;0.2612679062708271;0.31556284601189255
1584296676967;-1;4;-1;0.32643825829023926;0.3754357186795161
1584296679719;-1;5;-1;0.303340078848908;0.35677670699200326
1584296685169;-1;6;-1;0.3078609564998374;0.3549313102316998
1584296691257;-1;7;-1;0.32992850174284505;0.3594422800902194
1584296696816;-1;8;-1;0.3176515682772437;0.36579864670904244
1584296700955;-1;9;-1;0.33842885289728847;0.3922493336067254
1584296712615;-1;10;-1;0.35314686111810634;0.38220217346729546
1584296720864;-1;11;-1;0.3636300194287059;0.4014763174082428
1584296726163;-1;12;-1;0.3763747491831996;0.390403936846422
1584296731704;-1;13;-1;0.3605392139557658;0.39101906909985645
1584296736860;-1;14;-1;0.38451802443523697;0.389173672339553
1584296745973;-1;15;-1;0.380999651097344;0.40229649374615545
1584296756049;-1;16;-1;0.39019009229841384;0.4010662292392864
1584296760445;-1;17;-1;0.3929241748045692;0.41705966782858317
1584296767098;-1;18;-1;0.3929472024782551;0.41316383022349806
1584296774323;-1;19;-1;0.3924930930281253;0.4184949764199303
1584296777834;-1;20;-1;0.401406843563065;0.4209555054336682
1584296785723;-1;21;-1;0.40130641740823797;0.4225958581094935
1584296789714;-1;22;-1;0.4048995468427106;0.4312077096575764
1584296796697;-1;23;-1;0.4046663166310534;0.4353085913471396
1584296802406;-1;24;-1;0.41041534140646074;0.42321099036292803
1584296808239;-1;25;-1;0.4030525474484652;0.43817920852983394
1584296812466;-1;26;-1;0.41221586531339144;0.42690178388353495
1584296816769;-1;27;-1;0.3972775859014024;0.4328480623334017
1584296820506;-1;28;-1;0.4210945940687352;0.4295673569817511
1584296824000;-1;29;-1;0.4079166190297027;0.43797416444535575
1584296827454;-1;30;-1;0.4272214260582031;0.42895222472831657
1584296831194;-1;31;-1;0.4131176535605419;0.43612876768505227
1584296834327;-1;32;-1;0.4276577721323335;0.4367438999384868
1584296838310;-1;33;-1;0.42476468817839597;0.4316177978265327
1584296843512;-1;34;-1;0.4292431311228392;0.4316177978265327
1584296847263;-1;35;-1;0.42592946196534776;0.43448841500922697
1584296852863;-1;36;-1;0.43182523099361664;0.43633381176953046
1584296857755;-1;37;-1;0.4240925053200876;0.4322329300799672
1584296862722;-1;38;-1;0.4255680745081435;0.432027885995489
1584296868565;-1;39;-1;0.42201740591111564;0.43079762148862005
1584296877179;-1;40;-1;0.4218817530699608;0.43571867951609594
1584296881209;-1;41;-1;0.42780145790685753;0.442075046134919
1584296885665;-1;42;-1;0.43358401680174985;0.4439204428952225
1584296889276;-1;43;-1;0.42855947807429023;0.4443305310641788
1584296893912;-1;44;-1;0.432197964566545;0.44884150092269837
1584296900000;-1;45;-1;0.44824865711338646;0.4515070740209145
1584296904045;-1;46;-1;0.44603804773674177;0.4564281320483904
1584296910246;-1;47;-1;0.4416569562045358;0.4566331761328686
1584296915406;-1;48;-1;0.43505811608792;0.45458273528808696
1584296919510;-1;49;-1;0.43619089831761654;0.4590937051466065
1584296925317;-1;50;-1;0.44294942533249626;0.46011892556899736
1584296929354;-1;51;-1;0.4267042886397221;0.449661677260611
1584296934855;-1;52;-1;0.43743360029019185;0.46093910190691
1584296941012;-1;53;-1;0.42955370465019593;0.44843141275374204
1584296945119;-1;54;-1;0.43554776318983723;0.4582735288086939
1584296951563;-1;55;-1;0.43651175858616337;0.4590937051466065
1584296956820;-1;56;-1;0.44069721779148086;0.45581299979495593
1584296959857;-1;57;-1;0.43768482222782645;0.4582735288086939
1584296969592;-1;58;-1;0.42431910588870336;0.45232725035882715
