timestamp;partition;vectorClock;loss;fMeasure;accuracy
1584293575245;-1;0;-1;0.1375967429092171;0.2370309616567562
1584293587152;-1;1;-1;0.1644802816307851;0.2647119130613082
1584293590176;-1;2;-1;0.26808855613583116;0.3344269017838835
1584293594548;-1;3;-1;0.2620582828003311;0.32622513840475703
1584293598283;-1;4;-1;0.326547988803146;0.36067254459708836
1584293601085;-1;5;-1;0.29688442776770413;0.3411933565716629
1584293604837;-1;6;-1;0.3354375774673169;0.37010457248308387
1584293607524;-1;7;-1;0.29255021623202376;0.3163830223498052
1584293609891;-1;8;-1;0.33626427245387014;0.3676440434693459
1584293611645;-1;9;-1;0.33057165462240284;0.35349600164035266
1584293614376;-1;10;-1;0.34794595213622004;0.3672339553003896
1584293616373;-1;11;-1;0.3081254591264656;0.3366823867131433
1584293618038;-1;12;-1;0.3250655724240163;0.3528808693869182
1584293619776;-1;13;-1;0.342823622390118;0.34919007586631123
1584293621514;-1;14;-1;0.3350826420664454;0.35903219192126307
1584293623429;-1;15;-1;0.3424247593832089;0.34652450276809516
1584293625875;-1;16;-1;0.34792038171741657;0.3643633381176953
1584293627936;-1;17;-1;0.3227852217427626;0.3309411523477548
1584293629456;-1;18;-1;0.33146275917008755;0.3436538855854009
1584293631076;-1;19;-1;0.33024471576116754;0.33340168136149273
1584293632857;-1;20;-1;0.3399061325607535;0.34242362107853186
1584293635097;-1;21;-1;0.33362683087836337;0.3366823867131433
1584293636473;-1;22;-1;0.3405834579910886;0.35267582530244
1584293638657;-1;23;-1;0.3321617105419382;0.34631945868361697
1584293640627;-1;24;-1;0.34859001004618434;0.3549313102316998
1584293642733;-1;25;-1;0.3329283448120586;0.3327865491080582
1584293644681;-1;26;-1;0.3537519490194967;0.3596473241746976
1584293646620;-1;27;-1;0.3428758660169443;0.3436538855854009
1584293648575;-1;28;-1;0.35175671152824195;0.35267582530244
1584293650460;-1;29;-1;0.3472362356599275;0.34488415009226986
1584293652270;-1;30;-1;0.3520451937735576;0.35206069304900556
1584293654576;-1;31;-1;0.353704785813747;0.34980520811974575
1584293656201;-1;32;-1;0.3539532906071905;0.34960016403526756
1584293658388;-1;33;-1;0.3498119196672956;0.36087758868156655
1584293661796;-1;34;-1;0.35095821297399854;0.3559565306540906
1584293663488;-1;35;-1;0.34786434294558544;0.36231289727291366
1584293667694;-1;36;-1;0.35349597364465957;0.3600574123436539
1584293670696;-1;37;-1;0.3580368351069812;0.3676440434693459
1584293673695;-1;38;-1;0.35655985503786003;0.36415829403321714
1584293676343;-1;39;-1;0.3640525869288689;0.365183514455608
1584293678943;-1;40;-1;0.354401599543661;0.36415829403321714
1584293680688;-1;41;-1;0.3471853958332243;0.361492720935001
1584293684096;-1;42;-1;0.36070713087734907;0.36784908755382406
1584293685898;-1;43;-1;0.3509304354194768;0.36395324994873895
1584293688395;-1;44;-1;0.36167737319377724;0.3682591757227804
1584293691493;-1;45;-1;0.36699121838007454;0.3787164240311667
1584293692844;-1;46;-1;0.3520406584164319;0.37318023375025633
1584293695943;-1;47;-1;0.3676124035109819;0.3797416444535575
1584293697549;-1;48;-1;0.36570510821182706;0.3819971293828173
1584293699495;-1;49;-1;0.35705885735119336;0.381587041213861
1584293701788;-1;50;-1;0.36059415534920425;0.3813819971293828
1584293703996;-1;51;-1;0.3565452036024287;0.3633381176953045
1584293706095;-1;52;-1;0.36028803569943363;0.3684642198072586
1584293708793;-1;53;-1;0.37210233091453104;0.3797416444535575
1584293710644;-1;54;-1;0.36625156710496404;0.37297518966577814
1584293712848;-1;55;-1;0.3681184402673833;0.37851137994668854
1584293714844;-1;56;-1;0.3697965473076119;0.3787164240311667
1584293717343;-1;57;-1;0.368955810514709;0.3832273938896863
1584293720496;-1;58;-1;0.3624674278044515;0.370309616567562
1584293722244;-1;59;-1;0.3714543939964321;0.3797416444535575
1584293724601;-1;60;-1;0.3706980532604335;0.38015173262251384
1584293727093;-1;61;-1;0.3695878758193161;0.379126512200123
1584293729046;-1;62;-1;0.3709961009921142;0.3799466885380357
1584293731643;-1;63;-1;0.3705917395510041;0.3744104982571253
